App;GitCloneURL
com.github.andlyticsproject;https://github.com/AndlyticsProject/andlytics.git
im.vector.alpha;https://github.com/vector-im/riot-android
org.wahtod.wififixer;https://github.com/Zanshinmu/Wifi-Fixer.git
com.nicue.onetwo;https://github.com/ndleyton/OneTwo
com.commonsware.android.arXiv;https://github.com/jdeslip/arxiv-mobile
uk.co.busydoingnothing.prevo;https://github.com/bpeel/prevo
sh.ftp.rocketninelabs.meditationassistant.opensource;https://gitlab.com/tslocum/meditationassistant
nl.sogeti.android.gpstracker;https://github.com/rcgroot/open-gpstracker
com.lgallardo.qbittorrentclient;https://github.com/lgallard/qBittorrent-Client/
com.kanedias.vanilla.lyrics;https://github.com/vanilla-music/vanilla-music-lyrics-search
org.secuso.privacyfriendlyruler;https://github.com/SecUSo/privacy-friendly-ruler
org.fitchfamily.android.wifi_backend;https://github.com/n76/wifi_backend
de.guerda.matekarte;https://github.com/guerda/Matekarte
com.dririan.RingyDingyDingy;https://github.com/dririan/ringydingydingy.git
com.junjunguo.pocketmaps;https://github.com/junjunguo/PocketMaps
cz.romario.opensudoku;https://github.com/romario333/opensudoku
fr.ornidroid;https://github.com/giletvin/ornidroid.git
com.iazasoft.footguy;https://github.com/elboza/footguy
org.legtux.m_316k.fortune;https://github.com/316k/android-fortune
campyre.android;https://github.com/konklone/campyre.git
com.longevitysoft.android.appwidget.hstfeed;https://github.com/tenaciousRas/android-hst-feed
com.mridang.speedo;https://github.com/mridang/gasflow
com.fr3ts0n.ecu.gui.androbd;https://github.com/fr3ts0n/AndrOBD
nl.ttys0.simplec25k;https://github.com/roelb/Simple-C25K.git
eu.veldsoft.scribe4;https://github.com/TodorBalabanov/Scribe4
com.ebaschiera.triplecamel;https://github.com/ebaschiera/TripleCamel
org.helllabs.android.xmp;git://git.code.sf.net/p/xmp/xmp-android
info.meoblast001.thugaim;https://github.com/meoblast001/thugaim.git
pro.dbro.bart;https://github.com/OnlyInAmerica/BART.git
com.evenement.encapsulation;https://github.com/betaglop/eve-control
de.grobox.blitzmail;https://github.com/grote/BlitzMail.git
