Project Name,Package Name,Architecture Smell,Cause of the Smell
PocketMaps,<All packages>,Dense Structure, The tool detected the smell because all the analyzed components exhibit excessive and dense dependencies among themselves. Average degree = 6.0. All the dependencies among components: from: com.junjunguo.pocketmaps.activities to: com.junjunguo.pocketmaps.fragments; from: com.junjunguo.pocketmaps.activities to: com.junjunguo.pocketmaps.util; from: com.junjunguo.pocketmaps.activities to: com.junjunguo.pocketmaps.map; from: com.junjunguo.pocketmaps.activities to: com.junjunguo.pocketmaps.model; from: com.junjunguo.pocketmaps.activities to: com.junjunguo.pocketmaps.model.listeners; from: com.junjunguo.pocketmaps.activities to: com.junjunguo.pocketmaps.downloader; from: com.junjunguo.pocketmaps.activities to: com.junjunguo.pocketmaps.geocoding; from: com.junjunguo.pocketmaps.activities to: com.junjunguo.pocketmaps.navigator; from: com.junjunguo.pocketmaps.activities to: com.villoren.android.kalmanlocationmanager.lib; from: com.junjunguo.pocketmaps.db to: com.junjunguo.pocketmaps.map; from: com.junjunguo.pocketmaps.db to: com.junjunguo.pocketmaps.util; from: com.junjunguo.pocketmaps.downloader to: com.junjunguo.pocketmaps.model; from: com.junjunguo.pocketmaps.downloader to: com.junjunguo.pocketmaps.util; from: com.junjunguo.pocketmaps.downloader to: com.junjunguo.pocketmaps.activities; from: com.junjunguo.pocketmaps.fragments to: com.junjunguo.pocketmaps.activities; from: com.junjunguo.pocketmaps.fragments to: com.junjunguo.pocketmaps.map; from: com.junjunguo.pocketmaps.fragments to: com.junjunguo.pocketmaps.util; from: com.junjunguo.pocketmaps.fragments to: com.junjunguo.pocketmaps.model.listeners; from: com.junjunguo.pocketmaps.fragments to: com.junjunguo.pocketmaps.geocoding; from: com.junjunguo.pocketmaps.fragments to: com.junjunguo.pocketmaps.model; from: com.junjunguo.pocketmaps.fragments to: com.junjunguo.pocketmaps.navigator; from: com.junjunguo.pocketmaps.geocoding to: com.junjunguo.pocketmaps.util; from: com.junjunguo.pocketmaps.geocoding to: org.osmdroid.location; from: com.junjunguo.pocketmaps.geocoding to: com.junjunguo.pocketmaps.model.listeners; from: com.junjunguo.pocketmaps.geocoding to: com.junjunguo.pocketmaps.map; from: com.junjunguo.pocketmaps.map to: com.junjunguo.pocketmaps.model.listeners; from: com.junjunguo.pocketmaps.map to: com.junjunguo.pocketmaps.activities; from: com.junjunguo.pocketmaps.map to: com.junjunguo.pocketmaps.navigator; from: com.junjunguo.pocketmaps.map to: com.junjunguo.pocketmaps.util; from: com.junjunguo.pocketmaps.map to: com.junjunguo.pocketmaps.db; from: com.junjunguo.pocketmaps.map to: com.junjunguo.pocketmaps.fragments; from: com.junjunguo.pocketmaps.model to: com.junjunguo.pocketmaps.model.listeners; from: com.junjunguo.pocketmaps.model to: com.junjunguo.pocketmaps.util; from: com.junjunguo.pocketmaps.model to: com.junjunguo.pocketmaps.activities; from: com.junjunguo.pocketmaps.navigator to: com.junjunguo.pocketmaps.activities; from: com.junjunguo.pocketmaps.navigator to: com.junjunguo.pocketmaps.map; from: com.junjunguo.pocketmaps.navigator to: com.junjunguo.pocketmaps.util; from: com.junjunguo.pocketmaps.navigator to: com.graphhopper.android; from: com.junjunguo.pocketmaps.navigator to: com.junjunguo.pocketmaps.model; from: com.junjunguo.pocketmaps.util to: com.junjunguo.pocketmaps.db; from: com.junjunguo.pocketmaps.util to: com.junjunguo.pocketmaps.navigator; from: com.junjunguo.pocketmaps.util to: com.junjunguo.pocketmaps.model; from: com.junjunguo.pocketmaps.util to: com.junjunguo.pocketmaps.geocoding; from: com.villoren.android.kalmanlocationmanager.lib to: com.junjunguo.pocketmaps.activities; from: org.osmdroid.location to: org.osmdroid.utils.
PocketMaps,com.junjunguo.pocketmaps.activities,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.junjunguo.pocketmaps.activities; com.junjunguo.pocketmaps.fragments
PocketMaps,com.junjunguo.pocketmaps.activities,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.junjunguo.pocketmaps.activities; com.junjunguo.pocketmaps.fragments; com.junjunguo.pocketmaps.map
PocketMaps,com.junjunguo.pocketmaps.activities,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.junjunguo.pocketmaps.activities; com.junjunguo.pocketmaps.fragments; com.junjunguo.pocketmaps.map; com.junjunguo.pocketmaps.navigator
PocketMaps,com.junjunguo.pocketmaps.activities,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [AboutActivity]; [Analytics]; [DownloadMapActivity; MainActivity; MapActivity; Permission; GeocodeActivity; MapActions; ShowLocationActivity; LatLonActivity]; [ExportActivity]. LCC (Lack of Component Cohesion) = 0.36
PocketMaps,com.junjunguo.pocketmaps.db,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.junjunguo.pocketmaps.db; com.junjunguo.pocketmaps.map
PocketMaps,com.junjunguo.pocketmaps.db,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.junjunguo.pocketmaps.db; com.junjunguo.pocketmaps.map; com.junjunguo.pocketmaps.util
PocketMaps,com.junjunguo.pocketmaps.db,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.junjunguo.pocketmaps.db; com.junjunguo.pocketmaps.map; com.junjunguo.pocketmaps.activities; com.junjunguo.pocketmaps.util
PocketMaps,com.junjunguo.pocketmaps.downloader,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.junjunguo.pocketmaps.downloader; com.junjunguo.pocketmaps.activities
PocketMaps,com.junjunguo.pocketmaps.downloader,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.junjunguo.pocketmaps.downloader; com.junjunguo.pocketmaps.model; com.junjunguo.pocketmaps.activities
PocketMaps,com.junjunguo.pocketmaps.downloader,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.junjunguo.pocketmaps.downloader; com.junjunguo.pocketmaps.util; com.junjunguo.pocketmaps.navigator; com.junjunguo.pocketmaps.activities
PocketMaps,com.junjunguo.pocketmaps.downloader,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.junjunguo.pocketmaps.downloader; com.junjunguo.pocketmaps.model; com.junjunguo.pocketmaps.util; com.junjunguo.pocketmaps.navigator; com.junjunguo.pocketmaps.activities
PocketMaps,com.junjunguo.pocketmaps.downloader,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): com.junjunguo.pocketmaps.activities
PocketMaps,com.junjunguo.pocketmaps.fragments,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.junjunguo.pocketmaps.fragments; com.junjunguo.pocketmaps.activities
PocketMaps,com.junjunguo.pocketmaps.fragments,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.junjunguo.pocketmaps.fragments; com.junjunguo.pocketmaps.activities; com.junjunguo.pocketmaps.map
PocketMaps,com.junjunguo.pocketmaps.fragments,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.junjunguo.pocketmaps.fragments; com.junjunguo.pocketmaps.activities; com.junjunguo.pocketmaps.util; com.junjunguo.pocketmaps.db; com.junjunguo.pocketmaps.map
PocketMaps,com.junjunguo.pocketmaps.fragments,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): com.junjunguo.pocketmaps.activities
PocketMaps,com.junjunguo.pocketmaps.fragments,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [AppSettings]; [Dialog]; [InstructionAdapter; ViewHolder; MyAddressAdapter; ViewHolder; MyMapAdapter; ViewHolder]; [MessageDialog]; [SpinnerAdapter]; [VoiceDialog]. LCC (Lack of Component Cohesion) = 0.55
PocketMaps,com.junjunguo.pocketmaps.geocoding,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.junjunguo.pocketmaps.geocoding; com.junjunguo.pocketmaps.util
