Project Name,Package Name,Architecture Smell,Cause of the Smell
Wifi-Fixer,<All packages>,Dense Structure, The tool detected the smell because all the analyzed components exhibit excessive and dense dependencies among themselves. Average degree = 6.86. All the dependencies among components: from: org.wahtod.wififixer.boot to: org.wahtod.wififixer.utility; from: org.wahtod.wififixer.boot to: org.wahtod.wififixer.prefs; from: org.wahtod.wififixer to: org.wahtod.wififixer.utility; from: org.wahtod.wififixer to: org.wahtod.wififixer.prefs; from: org.wahtod.wififixer to: org.wahtod.wififixer.widget; from: org.wahtod.wififixer to: org.wahtod.wififixer.legacy; from: org.wahtod.wififixer.legacy to: org.wahtod.wififixer.utility; from: org.wahtod.wififixer.legacy to: org.wahtod.wififixer; from: org.wahtod.wififixer.legacy to: org.wahtod.wififixer.prefs; from: org.wahtod.wififixer.prefs to: org.wahtod.wififixer; from: org.wahtod.wififixer.prefs to: org.wahtod.wififixer.utility; from: org.wahtod.wififixer.prefs to: org.wahtod.wififixer.legacy; from: org.wahtod.wififixer.ui to: org.wahtod.wififixer.prefs; from: org.wahtod.wififixer.ui to: org.wahtod.wififixer; from: org.wahtod.wififixer.ui to: org.wahtod.wififixer.utility; from: org.wahtod.wififixer.ui to: org.wahtod.wififixer.legacy; from: org.wahtod.wififixer.utility to: org.wahtod.wififixer.prefs; from: org.wahtod.wififixer.utility to: org.wahtod.wififixer; from: org.wahtod.wififixer.utility to: org.wahtod.wififixer.legacy; from: org.wahtod.wififixer.utility to: org.wahtod.wififixer.widget; from: org.wahtod.wififixer.utility to: org.wahtod.wififixer.ui; from: org.wahtod.wififixer.widget to: org.wahtod.wififixer.utility; from: org.wahtod.wififixer.widget to: org.wahtod.wififixer.prefs; from: org.wahtod.wififixer.widget to: org.wahtod.wififixer.
Wifi-Fixer,org.wahtod.wififixer,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.wahtod.wififixer; org.wahtod.wififixer.utility
Wifi-Fixer,org.wahtod.wififixer,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.wahtod.wififixer; org.wahtod.wififixer.utility; org.wahtod.wififixer.prefs
Wifi-Fixer,org.wahtod.wififixer,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): org.wahtod.wififixer.widget
Wifi-Fixer,org.wahtod.wififixer,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [DefaultExceptionHandler; WFMonitorService; IntentConstants; WFBroadcastReceiver; SupplicantPatterns; WFMonitor; SortBySignal; IntentRunnable; PostNetCheckRunnable]; [NotificationReceiver]; [ToggleService]. LCC (Lack of Component Cohesion) = 0.27
Wifi-Fixer,org.wahtod.wififixer.legacy,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.wahtod.wififixer.legacy; org.wahtod.wififixer.utility
Wifi-Fixer,org.wahtod.wififixer.legacy,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.wahtod.wififixer.legacy; org.wahtod.wififixer.utility; org.wahtod.wififixer.prefs
Wifi-Fixer,org.wahtod.wififixer.legacy,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.wahtod.wififixer.legacy; org.wahtod.wififixer.utility; org.wahtod.wififixer.prefs; org.wahtod.wififixer
Wifi-Fixer,org.wahtod.wififixer.legacy,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): org.wahtod.wififixer.utility; org.wahtod.wififixer
Wifi-Fixer,org.wahtod.wififixer.legacy,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [API8File; VersionedFile; LegacyFile]; [EclairScreenState; VersionedScreenState; LegacyScreenState]; [EditorDetector; EditorHelperGB; EditorHelperLegacy]; [JellyBeanSleepPolicy; SleepPolicyHelper; LegacySleepPolicy]; [StrictModeDetector; StrictModeSetter]. LCC (Lack of Component Cohesion) = 0.36
Wifi-Fixer,org.wahtod.wififixer.prefs,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.wahtod.wififixer.prefs; org.wahtod.wififixer
Wifi-Fixer,org.wahtod.wififixer.prefs,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.wahtod.wififixer.prefs; org.wahtod.wififixer; org.wahtod.wififixer.utility
Wifi-Fixer,org.wahtod.wififixer.prefs,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): org.wahtod.wififixer; org.wahtod.wififixer.utility; org.wahtod.wififixer.legacy
Wifi-Fixer,org.wahtod.wififixer.prefs,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [AppCompatPreferenceActivity]; [MyPrefs; PrefConstants; PrefUtil; PrefLoader]; [PrefsBackupAgent]. LCC (Lack of Component Cohesion) = 0.5
Wifi-Fixer,org.wahtod.wififixer.ui,God Component,The tool detected the smell in this component because the component contains high number of classes. Number of classes in the component are: 38
Wifi-Fixer,org.wahtod.wififixer.ui,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.wahtod.wififixer.ui; org.wahtod.wififixer.utility
Wifi-Fixer,org.wahtod.wififixer.ui,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.wahtod.wififixer.ui; org.wahtod.wififixer.prefs; org.wahtod.wififixer.utility
Wifi-Fixer,org.wahtod.wififixer.ui,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.wahtod.wififixer.ui; org.wahtod.wififixer.prefs; org.wahtod.wififixer; org.wahtod.wififixer.utility
Wifi-Fixer,org.wahtod.wififixer.utility,God Component,The tool detected the smell in this component because the component contains high number of classes. Number of classes in the component are: 36
Wifi-Fixer,org.wahtod.wififixer.utility,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.wahtod.wififixer.utility; org.wahtod.wififixer.prefs
Wifi-Fixer,org.wahtod.wififixer.utility,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.wahtod.wififixer.utility; org.wahtod.wififixer.prefs; org.wahtod.wififixer
Wifi-Fixer,org.wahtod.wififixer.utility,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): org.wahtod.wififixer; org.wahtod.wififixer.widget; org.wahtod.wififixer.ui
Wifi-Fixer,org.wahtod.wififixer.widget,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.wahtod.wififixer.widget; org.wahtod.wififixer.utility
Wifi-Fixer,org.wahtod.wififixer.widget,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.wahtod.wififixer.widget; org.wahtod.wififixer.utility; org.wahtod.wififixer
Wifi-Fixer,org.wahtod.wififixer.widget,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.wahtod.wififixer.widget; org.wahtod.wififixer.utility; org.wahtod.wififixer.prefs; org.wahtod.wififixer
