Project Name,Package Name,Architecture Smell,Cause of the Smell
andlytics,com.github.andlyticsproject,God Component,The tool detected the smell in this component because the component contains high number of classes. Number of classes in the component are: 72
andlytics,com.github.andlyticsproject,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.github.andlyticsproject; com.github.andlyticsproject.sync
andlytics,com.github.andlyticsproject,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.github.andlyticsproject; com.github.andlyticsproject.sync; com.github.andlyticsproject.model
andlytics,com.github.andlyticsproject,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.github.andlyticsproject; com.github.andlyticsproject.sync; com.github.andlyticsproject.console.v2; com.github.andlyticsproject.model
andlytics,com.github.andlyticsproject,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.github.andlyticsproject; com.github.andlyticsproject.sync; com.github.andlyticsproject.console.v2; com.github.andlyticsproject.util; com.github.andlyticsproject.io
andlytics,com.github.andlyticsproject,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): com.github.andlyticsproject.admob
andlytics,com.github.andlyticsproject.admob,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.github.andlyticsproject.admob; com.github.andlyticsproject
andlytics,com.github.andlyticsproject.admob,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.github.andlyticsproject.admob; com.github.andlyticsproject.model; com.github.andlyticsproject
andlytics,com.github.andlyticsproject.adsense,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.github.andlyticsproject.adsense; com.github.andlyticsproject
andlytics,com.github.andlyticsproject.adsense,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.github.andlyticsproject.adsense; com.github.andlyticsproject; com.github.andlyticsproject.sync
andlytics,com.github.andlyticsproject.adsense,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): com.github.andlyticsproject
andlytics,com.github.andlyticsproject.chart,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.github.andlyticsproject.chart; com.github.andlyticsproject
andlytics,com.github.andlyticsproject.chart,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): com.github.andlyticsproject
andlytics,com.github.andlyticsproject.console,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [AppAccessBlockedException; DevConsoleException; DevConsoleProtocolException; MultiAccountException; NetworkException; AuthenticationException]; [DevConsole]. LCC (Lack of Component Cohesion) = 0.29
andlytics,com.github.andlyticsproject.console.v2,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.github.andlyticsproject.console.v2; com.github.andlyticsproject
andlytics,com.github.andlyticsproject.console.v2,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.github.andlyticsproject.console.v2; com.github.andlyticsproject; com.github.andlyticsproject.sync
andlytics,com.github.andlyticsproject.console.v2,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): com.github.andlyticsproject
andlytics,com.github.andlyticsproject.db,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.github.andlyticsproject.db; com.github.andlyticsproject.sync
andlytics,com.github.andlyticsproject.db,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.github.andlyticsproject.db; com.github.andlyticsproject.model; com.github.andlyticsproject
andlytics,com.github.andlyticsproject.db,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.github.andlyticsproject.db; com.github.andlyticsproject.model; com.github.andlyticsproject; com.github.andlyticsproject.sync
andlytics,com.github.andlyticsproject.db,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): com.github.andlyticsproject.sync; com.github.andlyticsproject
andlytics,com.github.andlyticsproject.io,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.github.andlyticsproject.io; com.github.andlyticsproject
andlytics,com.github.andlyticsproject.io,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.github.andlyticsproject.io; com.github.andlyticsproject; com.github.andlyticsproject.util
