Project Name,Package Name,Architecture Smell,Cause of the Smell
android-hst-feed,com.longevitysoft.android.appwidget.hstfeed.activity,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.longevitysoft.android.appwidget.hstfeed.activity; com.longevitysoft.android.appwidget.hstfeed.service; com.longevitysoft.android.appwidget.hstfeed.async
android-hst-feed,com.longevitysoft.android.appwidget.hstfeed.activity,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.longevitysoft.android.appwidget.hstfeed.activity; com.longevitysoft.android.appwidget.hstfeed.util; com.longevitysoft.android.appwidget.hstfeed.service; com.longevitysoft.android.appwidget.hstfeed.async
android-hst-feed,com.longevitysoft.android.appwidget.hstfeed.async,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.longevitysoft.android.appwidget.hstfeed.async; com.longevitysoft.android.appwidget.hstfeed.service
android-hst-feed,com.longevitysoft.android.appwidget.hstfeed.async,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.longevitysoft.android.appwidget.hstfeed.async; com.longevitysoft.android.appwidget.hstfeed.util; com.longevitysoft.android.appwidget.hstfeed.service
android-hst-feed,com.longevitysoft.android.appwidget.hstfeed.async,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.longevitysoft.android.appwidget.hstfeed.async; com.longevitysoft.android.appwidget.hstfeed.provider; com.longevitysoft.android.appwidget.hstfeed.util; com.longevitysoft.android.appwidget.hstfeed.service
android-hst-feed,com.longevitysoft.android.appwidget.hstfeed.provider,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.longevitysoft.android.appwidget.hstfeed.provider; com.longevitysoft.android.appwidget.hstfeed.util; com.longevitysoft.android.appwidget.hstfeed.service
android-hst-feed,com.longevitysoft.android.appwidget.hstfeed.provider,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.longevitysoft.android.appwidget.hstfeed.provider; com.longevitysoft.android.appwidget.hstfeed.util; com.longevitysoft.android.appwidget.hstfeed.service; com.longevitysoft.android.appwidget.hstfeed.async
android-hst-feed,com.longevitysoft.android.appwidget.hstfeed.provider,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): com.longevitysoft.android.appwidget.hstfeed.util
android-hst-feed,com.longevitysoft.android.appwidget.hstfeed.service,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.longevitysoft.android.appwidget.hstfeed.service; com.longevitysoft.android.appwidget.hstfeed.async
android-hst-feed,com.longevitysoft.android.appwidget.hstfeed.service,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.longevitysoft.android.appwidget.hstfeed.service; com.longevitysoft.android.appwidget.hstfeed.async; com.longevitysoft.android.appwidget.hstfeed.util
android-hst-feed,com.longevitysoft.android.appwidget.hstfeed.service,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.longevitysoft.android.appwidget.hstfeed.service; com.longevitysoft.android.appwidget.hstfeed.async; com.longevitysoft.android.appwidget.hstfeed.provider; com.longevitysoft.android.appwidget.hstfeed.util
android-hst-feed,com.longevitysoft.android.appwidget.hstfeed.service,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.longevitysoft.android.appwidget.hstfeed.service; com.longevitysoft.android.appwidget.hstfeed.async; com.longevitysoft.android.appwidget.hstfeed.activity; com.longevitysoft.android.appwidget.hstfeed.provider; com.longevitysoft.android.appwidget.hstfeed.util
android-hst-feed,com.longevitysoft.android.appwidget.hstfeed.service,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): com.longevitysoft.android.appwidget.hstfeed.async
android-hst-feed,com.longevitysoft.android.appwidget.hstfeed.util,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.longevitysoft.android.appwidget.hstfeed.util; com.longevitysoft.android.appwidget.hstfeed.service
android-hst-feed,com.longevitysoft.android.appwidget.hstfeed.util,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.longevitysoft.android.appwidget.hstfeed.util; com.longevitysoft.android.appwidget.hstfeed.service; com.longevitysoft.android.appwidget.hstfeed.async
android-hst-feed,com.longevitysoft.android.appwidget.hstfeed.util,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.longevitysoft.android.appwidget.hstfeed.util; com.longevitysoft.android.appwidget.hstfeed.service; com.longevitysoft.android.appwidget.hstfeed.async; com.longevitysoft.android.appwidget.hstfeed.provider
