Project Name,Package Name,Architecture Smell,Cause of the Smell
open-gpstracker,nl.sogeti.android.gpstracker.actions,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: nl.sogeti.android.gpstracker.actions; nl.sogeti.android.gpstracker.util; nl.sogeti.android.gpstracker.actions.tasks
open-gpstracker,nl.sogeti.android.gpstracker.actions,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: nl.sogeti.android.gpstracker.actions; nl.sogeti.android.gpstracker.actions.utils; nl.sogeti.android.gpstracker.util; nl.sogeti.android.gpstracker.actions.tasks
open-gpstracker,nl.sogeti.android.gpstracker.actions,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: nl.sogeti.android.gpstracker.actions; nl.sogeti.android.gpstracker.settings; nl.sogeti.android.gpstracker.streaming; nl.sogeti.android.gpstracker.util; nl.sogeti.android.gpstracker.actions.tasks
open-gpstracker,nl.sogeti.android.gpstracker.actions,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [AboutActivity; AboutDialogFragment]; [ControlTracking; NameTrack]; [InsertNote]; [ShareTrack; ShareProgressListener; Statistics; MyGestureDetector]. LCC (Lack of Component Cohesion) = 0.44
open-gpstracker,nl.sogeti.android.gpstracker.actions.tasks,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: nl.sogeti.android.gpstracker.actions.tasks; nl.sogeti.android.gpstracker.util
open-gpstracker,nl.sogeti.android.gpstracker.actions.tasks,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: nl.sogeti.android.gpstracker.actions.tasks; nl.sogeti.android.gpstracker.actions.utils; nl.sogeti.android.gpstracker.util
open-gpstracker,nl.sogeti.android.gpstracker.actions.tasks,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: nl.sogeti.android.gpstracker.actions.tasks; nl.sogeti.android.gpstracker.actions; nl.sogeti.android.gpstracker.actions.utils; nl.sogeti.android.gpstracker.util
open-gpstracker,nl.sogeti.android.gpstracker.actions.tasks,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: nl.sogeti.android.gpstracker.actions.tasks; nl.sogeti.android.gpstracker.actions; nl.sogeti.android.gpstracker.settings; nl.sogeti.android.gpstracker.streaming; nl.sogeti.android.gpstracker.util
open-gpstracker,nl.sogeti.android.gpstracker.actions.utils,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: nl.sogeti.android.gpstracker.actions.utils; nl.sogeti.android.gpstracker.util; nl.sogeti.android.gpstracker.actions.tasks
open-gpstracker,nl.sogeti.android.gpstracker.actions.utils,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: nl.sogeti.android.gpstracker.actions.utils; nl.sogeti.android.gpstracker.util; nl.sogeti.android.gpstracker.actions.tasks; nl.sogeti.android.gpstracker.actions
open-gpstracker,nl.sogeti.android.gpstracker.settings,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: nl.sogeti.android.gpstracker.settings; nl.sogeti.android.gpstracker.streaming
open-gpstracker,nl.sogeti.android.gpstracker.settings,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: nl.sogeti.android.gpstracker.settings; nl.sogeti.android.gpstracker.streaming; nl.sogeti.android.gpstracker.util; nl.sogeti.android.gpstracker.actions.tasks; nl.sogeti.android.gpstracker.actions
open-gpstracker,nl.sogeti.android.gpstracker.streaming,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: nl.sogeti.android.gpstracker.streaming; nl.sogeti.android.gpstracker.settings
open-gpstracker,nl.sogeti.android.gpstracker.streaming,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: nl.sogeti.android.gpstracker.streaming; nl.sogeti.android.gpstracker.util; nl.sogeti.android.gpstracker.actions.tasks; nl.sogeti.android.gpstracker.actions; nl.sogeti.android.gpstracker.settings
open-gpstracker,nl.sogeti.android.gpstracker.util,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: nl.sogeti.android.gpstracker.util; nl.sogeti.android.gpstracker.actions.tasks
open-gpstracker,nl.sogeti.android.gpstracker.util,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: nl.sogeti.android.gpstracker.util; nl.sogeti.android.gpstracker.actions.tasks; nl.sogeti.android.gpstracker.actions.utils
open-gpstracker,nl.sogeti.android.gpstracker.util,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: nl.sogeti.android.gpstracker.util; nl.sogeti.android.gpstracker.actions.tasks; nl.sogeti.android.gpstracker.actions; nl.sogeti.android.gpstracker.actions.utils
