Project Name,Package Name,Architecture Smell,Cause of the Smell
opensudoku,cz.romario.opensudoku.db,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: cz.romario.opensudoku.db; cz.romario.opensudoku.gui
opensudoku,cz.romario.opensudoku.db,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: cz.romario.opensudoku.db; cz.romario.opensudoku.gui; cz.romario.opensudoku.gui.exporting
opensudoku,cz.romario.opensudoku.db,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): cz.romario.opensudoku.gui
opensudoku,cz.romario.opensudoku.game,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: cz.romario.opensudoku.game; cz.romario.opensudoku.game.command
opensudoku,cz.romario.opensudoku.game,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): cz.romario.opensudoku.game.command
opensudoku,cz.romario.opensudoku.game,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [Cell; CellCollection; OnChangeListener; CellGroup; CellNote; SudokuGame; OnPuzzleSolvedListener]; [FolderInfo]. LCC (Lack of Component Cohesion) = 0.25
opensudoku,cz.romario.opensudoku.game.command,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: cz.romario.opensudoku.game.command; cz.romario.opensudoku.game
opensudoku,cz.romario.opensudoku.game.command,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [AbstractCellCommand; AbstractCommand; ClearAllNotesCommand; NoteEntry; CommandStack; EditCellNoteCommand; FillInNotesCommand; SetCellValueCommand]; [NoteEntry]. LCC (Lack of Component Cohesion) = 0.22
opensudoku,cz.romario.opensudoku.gui,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: cz.romario.opensudoku.gui; cz.romario.opensudoku.db
opensudoku,cz.romario.opensudoku.gui,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: cz.romario.opensudoku.gui; cz.romario.opensudoku.gui.exporting; cz.romario.opensudoku.db
opensudoku,cz.romario.opensudoku.gui,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): cz.romario.opensudoku.gui.inputmethod; cz.romario.opensudoku.gui.importing
opensudoku,cz.romario.opensudoku.gui.exporting,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: cz.romario.opensudoku.gui.exporting; cz.romario.opensudoku.db; cz.romario.opensudoku.gui
opensudoku,cz.romario.opensudoku.gui.importing,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: cz.romario.opensudoku.gui.importing; cz.romario.opensudoku.db; cz.romario.opensudoku.gui
opensudoku,cz.romario.opensudoku.gui.inputmethod,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: cz.romario.opensudoku.gui.inputmethod; cz.romario.opensudoku.gui
