Project Name,Package Name,Architecture Smell,Cause of the Smell
riot-android,<All packages>,Dense Structure, The tool detected the smell because all the analyzed components exhibit excessive and dense dependencies among themselves. Average degree = 8.14. All the dependencies among components: from: im.vector.activity to: im.vector.adapters; from: im.vector.activity to: im.vector.fragments; from: im.vector.activity to: im.vector; from: im.vector.activity to: im.vector.util; from: im.vector.activity to: im.vector.contacts; from: im.vector.activity to: im.vector.widgets; from: im.vector.activity to: im.vector.receiver; from: im.vector.activity to: im.vector.push.fcm; from: im.vector.activity to: im.vector.push; from: im.vector.activity to: im.vector.view; from: im.vector.activity to: im.vector.listeners; from: im.vector.adapters to: im.vector.util; from: im.vector.adapters to: im.vector; from: im.vector.adapters to: im.vector.activity; from: im.vector.adapters to: im.vector.fragments; from: im.vector.adapters to: im.vector.contacts; from: im.vector.adapters to: im.vector.view; from: im.vector.adapters to: im.vector.listeners; from: im.vector.adapters to: im.vector.widgets; from: im.vector.contacts to: im.vector.util; from: im.vector.contacts to: im.vector; from: im.vector to: im.vector.store; from: im.vector to: im.vector.activity; from: im.vector to: im.vector.push; from: im.vector to: im.vector.widgets; from: im.vector to: im.vector.util; from: im.vector to: im.vector.contacts; from: im.vector.fragments to: im.vector.activity; from: im.vector.fragments to: im.vector.adapters; from: im.vector.fragments to: im.vector.util; from: im.vector.fragments to: im.vector; from: im.vector.fragments to: im.vector.view; from: im.vector.fragments to: im.vector.contacts; from: im.vector.fragments to: im.vector.widgets; from: im.vector.fragments to: im.vector.receiver; from: im.vector.push to: im.vector.util; from: im.vector.push to: im.vector; from: im.vector.push to: im.vector.push.fcm; from: im.vector.receiver to: im.vector.util; from: im.vector.receiver to: im.vector; from: im.vector.receiver to: im.vector.activity; from: im.vector.services to: im.vector.push; from: im.vector.services to: im.vector; from: im.vector.services to: im.vector.util; from: im.vector.util to: im.vector; from: im.vector.util to: im.vector.activity; from: im.vector.util to: im.vector.adapters; from: im.vector.util to: im.vector.listeners; from: im.vector.util to: im.vector.fragments; from: im.vector.util to: im.vector.widgets; from: im.vector.util to: im.vector.view; from: im.vector.view to: im.vector.widgets; from: im.vector.view to: im.vector; from: im.vector.view to: im.vector.adapters; from: im.vector.view to: im.vector.fragments; from: im.vector.view to: im.vector.util; from: im.vector.widgets to: im.vector.
riot-android,im.vector.activity,God Component,The tool detected the smell in this component because the component contains high number of classes. Number of classes in the component are: 33
riot-android,im.vector.activity,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: im.vector.activity; im.vector.adapters
riot-android,im.vector.activity,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: im.vector.activity; im.vector.adapters; im.vector.util
riot-android,im.vector.activity,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: im.vector.activity; im.vector.adapters; im.vector.util; im.vector
riot-android,im.vector.activity,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): im.vector.fragments
riot-android,im.vector.adapters,God Component,The tool detected the smell in this component because the component contains high number of classes. Number of classes in the component are: 85
riot-android,im.vector.adapters,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: im.vector.adapters; im.vector.util
riot-android,im.vector.adapters,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: im.vector.adapters; im.vector.util; im.vector.activity
riot-android,im.vector.adapters,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: im.vector.adapters; im.vector.util; im.vector; im.vector.activity
riot-android,im.vector.adapters,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: im.vector.adapters; im.vector.util; im.vector; im.vector.activity; im.vector.fragments
riot-android,im.vector.adapters,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): im.vector.activity; im.vector.fragments; im.vector.view
riot-android,im.vector.adapters,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [AbsAdapter; HeaderViewHolder; AdapterDataObserver; RoomInvitationListener; GroupInvitationListener; MoreRoomActionListener; MoreGroupActionListener; AbsFilterableAdapter; AdapterSection; GroupAdapter; OnGroupSelectItemListener; GroupAdapterSection; GroupDetailsPeopleAdapter; OnSelectUserListener; GroupDetailsRoomsAdapter; OnSelectRoomListener; GroupInvitationViewHolder; GroupRoomViewHolder; GroupUserViewHolder; GroupViewHolder; HomeRoomAdapter; KnownContactsAdapterSection; PeopleAdapter; ContactViewHolder; OnSelectItemListener; PublicRoomsAdapterSection; RoomAdapter; PublicRoomViewHolder; RoomInvitationViewHolder; RoomViewHolder; VectorRoomDetailsMembersAdapter; OnParticipantsListener; OnRoomMembersSearchListener; ChildMemberViewHolder; ParticipantAdapterItem; VectorParticipantsAdapter; OnParticipantsSearchListener; VectorRoomCreationAdapter; IRoomCreationAdapterListener]; [AdapterUtils; VectorMessagesAdapter; ReadMarkerListener; VectorMessagesAdapterHelper; VectorMessagesAdapterMediasHelper; VectorRoomsSelectionAdapter; VectorRoomSummaryAdapter; RoomEventListener; VectorSearchFilesListAdapter; VectorSearchMessagesListAdapter]; [AutoCompletedCommandLineAdapter; CommandViewHolder; AutoCompletedCommandFilter]; [AutoCompletedUserAdapter; AutoCompletedUserFilter]; [CountryAdapter; CountryViewHolder; OnSelectCountryListener]; [GroupDetailsFragmentPagerAdapter]; [OnSelectRoomListener]; [ImageCompressionDescription; ImageSizesAdapter]; [LanguagesAdapter; LanguageViewHolder; OnSelectLocaleListener]; [MediaPreviewAdapter; MediaItemViewHolder; EventListener]; [OnSelectItemListener]; [RoomDirectoryAdapter; RoomDirectoryViewHolder; OnSelectRoomDirectoryListener]; [VectorGroupsListAdapter]; [VectorMediaViewerAdapter]; [VectorMemberDetailsAdapter; IEnablingActions; MemberDetailsViewHolder; AdapterMemberActionItems]; [VectorMemberDetailsDevicesAdapter; IDevicesAdapterListener; MemberDetailsDevicesViewHolder]; [VectorPublicRoomsAdapter]; [GroupViewHolder]; [VectorUnifiedSearchFragmentPagerAdapter]; [VectorUnknownDevicesAdapter; IVerificationAdapterListener]. LCC (Lack of Component Cohesion) = 0.24
riot-android,im.vector.contacts,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: im.vector.contacts; im.vector
riot-android,im.vector.contacts,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: im.vector.contacts; im.vector.util; im.vector
riot-android,im.vector.contacts,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: im.vector.contacts; im.vector.util; im.vector; im.vector.activity
riot-android,im.vector.contacts,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: im.vector.contacts; im.vector.util; im.vector; im.vector.activity; im.vector.adapters
riot-android,im.vector,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: im.vector; im.vector.activity
riot-android,im.vector,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: im.vector; im.vector.activity; im.vector.adapters
riot-android,im.vector,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: im.vector; im.vector.activity; im.vector.adapters; im.vector.util
riot-android,im.vector,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): im.vector.activity; im.vector.push; im.vector.util; im.vector.contacts
riot-android,im.vector.fragments,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: im.vector.fragments; im.vector.activity
riot-android,im.vector.fragments,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: im.vector.fragments; im.vector.activity; im.vector.adapters
riot-android,im.vector.fragments,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: im.vector.fragments; im.vector.activity; im.vector.adapters; im.vector.util
riot-android,im.vector.fragments,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [AbsHomeFragment; OnFilterListener; OnRoomChangedListener; FavouritesFragment; GroupsFragment; HomeFragment; PeopleFragment; RoomsFragment]; [GroupDetailsBaseFragment; GroupDetailsHomeFragment; GroupDetailsPeopleFragment; GroupDetailsRoomsFragment]; [ImageSizeSelectionDialogFragment; ImageSizeListener]; [VectorMessageListFragment; VectorMessageListFragmentListener; VectorMessagesFragment; VectorSearchMessagesListFragment; VectorSearchRoomsFilesListFragment; VectorUserGroupsDialogFragment; VectorSearchRoomFilesListFragment]; [VectorPublicRoomsListFragment]; [VectorRecentsListFragment; IVectorRecentsScrollEventListener; VectorSearchRoomsListFragment]; [VectorRoomDetailsMembersFragment]; [VectorRoomSettingsFragment]; [VectorSearchPeopleListFragment]; [VectorUnknownDevicesFragment; IUnknownDevicesSendAnywayListener]. LCC (Lack of Component Cohesion) = 0.33
riot-android,im.vector.push,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: im.vector.push; im.vector
riot-android,im.vector.push,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: im.vector.push; im.vector.util; im.vector
riot-android,im.vector.push,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: im.vector.push; im.vector.util; im.vector; im.vector.activity
riot-android,im.vector.receiver,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: im.vector.receiver; im.vector.activity
riot-android,im.vector.receiver,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: im.vector.receiver; im.vector.util; im.vector.activity
riot-android,im.vector.receiver,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: im.vector.receiver; im.vector.util; im.vector; im.vector.activity
riot-android,im.vector.receiver,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: im.vector.receiver; im.vector.util; im.vector; im.vector.activity; im.vector.fragments
riot-android,im.vector.receiver,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): im.vector.activity
riot-android,im.vector.util,God Component,The tool detected the smell in this component because the component contains high number of classes. Number of classes in the component are: 36
riot-android,im.vector.util,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: im.vector.util; im.vector
riot-android,im.vector.util,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: im.vector.util; im.vector; im.vector.activity
riot-android,im.vector.util,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: im.vector.util; im.vector; im.vector.activity; im.vector.adapters
riot-android,im.vector.util,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): im.vector.activity; im.vector.adapters; im.vector.fragments; im.vector.view
riot-android,im.vector.util,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [BugReporter; IMXBugReportListener; BugReporterMultipartBody; WriteListener; Part; Builder; PreferencesManager; RageShake; SlashCommandsParser; VectorMarkdownParser; IVectorMarkdownParserListener; MarkDownWebAppInterface; VectorRoomMediasSender; OnImageUploadListener; ImageSize; ImageCompressionSizes]; [CallsManager]; [CallUtilities]; [CountryPhoneData; PhoneNumberUtils]; [EventGroup]; [GroupUtils]; [MatrixLinkMovementMethod]; [MatrixURLSpan]; [ReadMarkerManager]; [RiotEventDisplay]; [RoomDirectoryData]; [RoomUtils; MoreActionListener; HistoricalRoomActionListener; VectorUtils]; [SlidableMediaInfo]; [StickySectionHelper]; [VectorImageGetter; OnImageDownloadListener; ImageDownloaderTask]. LCC (Lack of Component Cohesion) = 0.42
riot-android,im.vector.view,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: im.vector.view; im.vector.adapters
riot-android,im.vector.view,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: im.vector.view; im.vector; im.vector.activity
riot-android,im.vector.view,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: im.vector.view; im.vector.widgets; im.vector; im.vector.activity
riot-android,im.vector.view,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: im.vector.view; im.vector.widgets; im.vector; im.vector.activity; im.vector.adapters
riot-android,im.vector.view,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): im.vector.fragments
riot-android,im.vector.view,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [ActiveWidgetsBanner; onUpdateListener]; [CodeBlockNestedScrollView]; [DrawerScrollView]; [EmptyViewItemDecoration]; [HomeSectionView]; [PieFractionView]; [PillImageView; PillView; OnUpdateListener; VectorCircularImageView]; [RecentMediaLayout]; [RecentsExpandableListView; DragAndDropEventsListener]; [SectionView]; [SimpleDividerItemDecoration]; [UnreadCounterBadgeView]; [VectorAutoCompleteTextView; VectorAutoCompleteTokenizer]; [VectorOngoingConferenceCallView; ICallClickListener]; [VectorPendingCallView]; [VectorViewPager]; [VideoRecordProgressView; VideoRecordView]. LCC (Lack of Component Cohesion) = 0.68
riot-android,im.vector.widgets,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: im.vector.widgets; im.vector
riot-android,im.vector.widgets,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: im.vector.widgets; im.vector; im.vector.activity
riot-android,im.vector.widgets,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: im.vector.widgets; im.vector; im.vector.activity; im.vector.adapters
riot-android,im.vector.widgets,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: im.vector.widgets; im.vector; im.vector.activity; im.vector.adapters; im.vector.util
riot-android,im.vector.widgets,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): im.vector
