Project Name,Package Name,Architecture Smell,Cause of the Smell
xmp-android,org.helllabs.android.xmp.browser,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [BasePlaylistActivity; FilelistActivity; PlaylistChoice; FilelistNavigation; ListState; PlaylistActivity; Examples]; [InputDialog; PlaylistMenu]. LCC (Lack of Component Cohesion) = 0.22
xmp-android,<All packages>,Dense Structure, The tool detected the smell because all the analyzed components exhibit excessive and dense dependencies among themselves. Average degree = 5.33. All the dependencies among components: from: org.helllabs.android.xmp.browser to: org.helllabs.android.xmp.browser.playlist; from: org.helllabs.android.xmp.browser to: org.helllabs.android.xmp.preferences; from: org.helllabs.android.xmp.browser to: org.helllabs.android.xmp.player; from: org.helllabs.android.xmp.browser to: org.helllabs.android.xmp.service; from: org.helllabs.android.xmp.browser to: org.helllabs.android.xmp.util; from: org.helllabs.android.xmp.browser.playlist to: org.helllabs.android.xmp.preferences; from: org.helllabs.android.xmp.browser.playlist to: org.helllabs.android.xmp.util; from: org.helllabs.android.xmp.browser.playlist to: org.helllabs.android.xmp; from: org.helllabs.android.xmp.modarchive.adapter to: org.helllabs.android.xmp.modarchive.model; from: org.helllabs.android.xmp.modarchive to: org.helllabs.android.xmp.util; from: org.helllabs.android.xmp.modarchive.request to: org.helllabs.android.xmp.modarchive.response; from: org.helllabs.android.xmp.modarchive.request to: org.helllabs.android.xmp.modarchive.model; from: org.helllabs.android.xmp.modarchive.request to: org.helllabs.android.xmp.util; from: org.helllabs.android.xmp.modarchive.request to: org.helllabs.android.xmp; from: org.helllabs.android.xmp.modarchive.response to: org.helllabs.android.xmp.modarchive.model; from: org.helllabs.android.xmp.modarchive.result to: org.helllabs.android.xmp.modarchive.request; from: org.helllabs.android.xmp.modarchive.result to: org.helllabs.android.xmp.modarchive.response; from: org.helllabs.android.xmp.modarchive.result to: org.helllabs.android.xmp.modarchive.adapter; from: org.helllabs.android.xmp.modarchive.result to: org.helllabs.android.xmp.modarchive; from: org.helllabs.android.xmp.modarchive.result to: org.helllabs.android.xmp.modarchive.model; from: org.helllabs.android.xmp.modarchive.result to: org.helllabs.android.xmp.preferences; from: org.helllabs.android.xmp.modarchive.result to: org.helllabs.android.xmp.player; from: org.helllabs.android.xmp.modarchive.result to: org.helllabs.android.xmp.util; from: org.helllabs.android.xmp.player to: org.helllabs.android.xmp.player.viewer; from: org.helllabs.android.xmp.player to: org.helllabs.android.xmp; from: org.helllabs.android.xmp.player to: org.helllabs.android.xmp.service; from: org.helllabs.android.xmp.player to: org.helllabs.android.xmp.preferences; from: org.helllabs.android.xmp.player to: org.helllabs.android.xmp.util; from: org.helllabs.android.xmp.player.viewer to: org.helllabs.android.xmp; from: org.helllabs.android.xmp.player.viewer to: org.helllabs.android.xmp.util; from: org.helllabs.android.xmp.player.viewer to: org.helllabs.android.xmp.player; from: org.helllabs.android.xmp.preferences.about to: org.helllabs.android.xmp; from: org.helllabs.android.xmp.preferences to: org.helllabs.android.xmp.service; from: org.helllabs.android.xmp.preferences to: org.helllabs.android.xmp.util; from: org.helllabs.android.xmp.service to: org.helllabs.android.xmp.service.receiver; from: org.helllabs.android.xmp.service to: org.helllabs.android.xmp.util; from: org.helllabs.android.xmp.service to: org.helllabs.android.xmp.service.utils; from: org.helllabs.android.xmp.service to: org.helllabs.android.xmp.service.notifier; from: org.helllabs.android.xmp.service to: org.helllabs.android.xmp.preferences; from: org.helllabs.android.xmp.service to: org.helllabs.android.xmp; from: org.helllabs.android.xmp.service.notifier to: org.helllabs.android.xmp.service.utils; from: org.helllabs.android.xmp.service.receiver to: org.helllabs.android.xmp.util; from: org.helllabs.android.xmp.service.receiver to: org.helllabs.android.xmp.service.notifier; from: org.helllabs.android.xmp.service.utils to: org.helllabs.android.xmp.service.receiver; from: org.helllabs.android.xmp.service.utils to: org.helllabs.android.xmp.util; from: org.helllabs.android.xmp.util to: org.helllabs.android.xmp.preferences; from: org.helllabs.android.xmp.util to: org.helllabs.android.xmp; from: org.helllabs.android.xmp to: org.helllabs.android.xmp.util.
xmp-android,org.helllabs.android.xmp.player,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.helllabs.android.xmp.player; org.helllabs.android.xmp.player.viewer
xmp-android,org.helllabs.android.xmp.player,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): org.helllabs.android.xmp.player.viewer; org.helllabs.android.xmp.service
xmp-android,org.helllabs.android.xmp.player,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [PlayerActivity; ScreenReceiver; Sidebar; Util]; [ProgressThread]; [ScreenSizeHelper]. LCC (Lack of Component Cohesion) = 0.5
xmp-android,org.helllabs.android.xmp.player.viewer,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.helllabs.android.xmp.player.viewer; org.helllabs.android.xmp.player
xmp-android,org.helllabs.android.xmp.preferences,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.helllabs.android.xmp.preferences; org.helllabs.android.xmp.service
xmp-android,org.helllabs.android.xmp.preferences,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.helllabs.android.xmp.preferences; org.helllabs.android.xmp.service; org.helllabs.android.xmp.util
xmp-android,org.helllabs.android.xmp.preferences,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.helllabs.android.xmp.preferences; org.helllabs.android.xmp.service; org.helllabs.android.xmp.service.receiver; org.helllabs.android.xmp.util
xmp-android,org.helllabs.android.xmp.preferences,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): org.helllabs.android.xmp.service
xmp-android,org.helllabs.android.xmp.service,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.helllabs.android.xmp.service; org.helllabs.android.xmp.preferences
xmp-android,org.helllabs.android.xmp.service,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.helllabs.android.xmp.service; org.helllabs.android.xmp.util; org.helllabs.android.xmp.preferences
xmp-android,org.helllabs.android.xmp.service,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.helllabs.android.xmp.service; org.helllabs.android.xmp.service.receiver; org.helllabs.android.xmp.util; org.helllabs.android.xmp.preferences
xmp-android,org.helllabs.android.xmp.service.notifier,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.helllabs.android.xmp.service.notifier; org.helllabs.android.xmp.service.utils; org.helllabs.android.xmp.service.receiver
xmp-android,org.helllabs.android.xmp.service.notifier,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.helllabs.android.xmp.service.notifier; org.helllabs.android.xmp.service.utils; org.helllabs.android.xmp.util; org.helllabs.android.xmp.preferences; org.helllabs.android.xmp.service
xmp-android,org.helllabs.android.xmp.service.notifier,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): org.helllabs.android.xmp.service.utils
xmp-android,org.helllabs.android.xmp.service.receiver,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.helllabs.android.xmp.service.receiver; org.helllabs.android.xmp.service.notifier; org.helllabs.android.xmp.service.utils
xmp-android,org.helllabs.android.xmp.service.receiver,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.helllabs.android.xmp.service.receiver; org.helllabs.android.xmp.util; org.helllabs.android.xmp.preferences; org.helllabs.android.xmp.service
xmp-android,org.helllabs.android.xmp.service.receiver,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.helllabs.android.xmp.service.receiver; org.helllabs.android.xmp.util; org.helllabs.android.xmp.preferences; org.helllabs.android.xmp.service; org.helllabs.android.xmp.service.utils
xmp-android,org.helllabs.android.xmp.service.utils,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.helllabs.android.xmp.service.utils; org.helllabs.android.xmp.service.receiver; org.helllabs.android.xmp.service.notifier
xmp-android,org.helllabs.android.xmp.service.utils,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.helllabs.android.xmp.service.utils; org.helllabs.android.xmp.util; org.helllabs.android.xmp.preferences; org.helllabs.android.xmp.service
